round,n_train,n_mined_total,val_mcc,test_mcc,test_f1,test_auc,fp_rate_screen@0.5,tpr_test@0.5,fp_rate_seed_mean,fp_rate_seed_std,tpr_seed_mean,tpr_seed_std,fp_per_seed,tpr_per_seed,mined_this_round,n_above_floor,neg_room_to_ceiling,mined_min_prob,mined_max_prob
0,4896,0,0.8945448872684707,0.8503381726001075,0.9266666666666666,0.982825484764543,0.0754,0.9754385964912281,0.07898,0.009110960432358381,0.9719298245614034,0.008303269871017002,0.0874;0.0680;0.0678;0.0844;0.0873,0.9754;0.9754;0.9579;0.9684;0.9825,300,1800,2424,0.9867109060287476,1.0
1,5196,300,0.8812311371231847,0.8750642859110535,0.9385665529010239,0.9824561403508771,0.0514,0.9649122807017544,0.05696,0.008932771126587762,0.952280701754386,0.008183792133116204,0.0649;0.0616;0.0544;0.0633;0.0406,0.9509;0.9474;0.9614;0.9614;0.9404,300,859,2124,0.9350725412368774,0.999642014503479
2,5496,600,0.8495212992039761,0.8772415844442906,0.9382716049382716,0.984302862419206,0.0304,0.9333333333333333,0.038079999999999996,0.009290726559317092,0.9242105263157896,0.019167017942102006,0.0348;0.0466;0.0314;0.0511;0.0265,0.9298;0.9439;0.9158;0.9404;0.8912,53,53,1824,0.8018696904182434,0.9404958486557007
3,5549,653,0.868054060804188,0.8493790449490853,0.925476603119584,0.985078485687904,0.0353,0.9368421052631579,0.03912,0.009016074533853412,0.9368421052631579,0.011095711088310103,0.0473;0.0303;0.0447;0.0471;0.0262,0.9544;0.9298;0.9439;0.9333;0.9228,9,9,1771,0.8034954071044922,0.8421279788017273
4,5558,662,0.857456532178633,0.8672006572698059,0.9344827586206896,0.9838350261618959,0.0448,0.9508771929824561,0.056380000000000006,0.011286700137772776,0.9403508771929825,0.01896035941909658,0.0493;0.0472;0.0778;0.0499;0.0577,0.9123;0.9368;0.9719;0.9404;0.9404,9,9,1762,0.8019479513168335,0.8282200694084167
