round,n_train,n_mined_total,val_mcc,test_mcc,test_f1,test_auc,fp_rate_screen@0.5,tpr_test@0.5,fp_rate_seed_mean,fp_rate_seed_std,tpr_seed_mean,tpr_seed_std,fp_per_seed,tpr_per_seed,mined_this_round,n_above_floor,neg_room_to_ceiling,mined_min_prob,mined_max_prob
0,4896,0,0.8727132838957561,0.736654496047716,0.8736,0.9701939058171745,0.0583,0.9578947368421052,0.06144000000000001,0.007728026915066999,0.9585964912280701,0.00680376120339136,0.0592;0.0553;0.0735;0.0524;0.0668,0.9684;0.9579;0.9614;0.9474;0.9579,300,1439,2424,0.990948498249054,0.9999998807907104
1,5196,300,0.8499287818605941,0.739715137895381,0.875,0.9671283471837488,0.0607,0.9578947368421052,0.07134,0.012185007180958081,0.9536842105263158,0.009256776111068704,0.0523;0.0816;0.0725;0.0641;0.0862,0.9509;0.9614;0.9614;0.9368;0.9579,300,809,2124,0.8925875425338745,0.9976099729537964
2,5496,600,0.8362495937050264,0.7524735800087383,0.8809135399673735,0.968211757463835,0.0476,0.9473684210526315,0.05219999999999999,0.016294661702533134,0.9382456140350877,0.0148201488294336,0.0639;0.0360;0.0767;0.0502;0.0342,0.9579;0.9193;0.9474;0.9439;0.9228,211,211,1824,0.8002215623855591,0.968375027179718
3,5707,811,0.8588758289446179,0.8185320355722,0.910958904109589,0.976374269005848,0.0356,0.9333333333333333,0.04888,0.013828145211849639,0.9263157894736841,0.00887656887064811,0.0489;0.0412;0.0429;0.0361;0.0753,0.9439;0.9193;0.9228;0.9228;0.9228,70,70,1613,0.8022733926773071,0.9607532620429993
4,5777,881,0.8469040096754915,0.8219081243446849,0.9125214408233276,0.9758818097876271,0.0287,0.9333333333333333,0.06128,0.04885793282569372,0.9298245614035088,0.03066915562584162,0.0811;0.1489;0.0266;0.0277;0.0221,0.9649;0.9684;0.9158;0.8982;0.9018,4,4,1543,0.8176350593566895,0.8320237398147583
