head,test_mcc_mean,test_mcc_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,val_mcc_mean,n_params
seqcnn,0.7434361066132337,0.04646591258344579,0.8768433712257133,0.02104841866058379,0.9631086488150199,0.004345673578121837,0.8758044197554054,853249
cnn,0.6980386706341518,0.033426652387178776,0.8562114303156297,0.014670625347888903,0.9584795321637427,0.0011134915658572802,0.8469408885683739,9479553
transformer,0.6846450324892422,0.033406735583576735,0.8503987239775208,0.01477934092392261,0.949394890735611,0.007513259868331669,0.8418001225748796,1875713
mlp,0.6691810335994045,0.017631665165008196,0.843502644088327,0.007675917257105904,0.9506211141889812,0.0036479230296361308,0.8381733844799483,721921
deepset,0.6526231808100389,0.05088237088005192,0.8365788981203297,0.02185905032670819,0.9491117266851339,0.005478114937918327,0.8320781206902016,427009
