head,test_mcc_mean,test_mcc_std,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,val_mcc_mean,n_params
deepset,0.867553167560762,0.011464159141010536,0.9348664902714328,0.005412661910627377,0.9825016928285626,0.0025259905822649005,0.9047955463063315,787457
seqcnn,0.8631317646895071,0.012968815693549822,0.9327440912083651,0.006038216985517485,0.9842893197907048,0.0013837441343039797,0.890426088476217,1754369
mlp,0.8441851696962364,0.0108461733502834,0.9236859556428438,0.0050962926085147036,0.9803976608187135,0.001295586641008238,0.8889094345635528,1442817
cnn,0.8404785749856878,0.007904713953375967,0.9217699975801915,0.003834539370941064,0.979658971991382,0.0016341699129597538,0.877708531490215,21013889
transformer,0.8364012157816182,0.013594605912779898,0.9192300546191345,0.006417683050218568,0.9761969836872882,0.003556106715891847,0.8679052580290285,2236161
